Time,??.?.-57,??.?.-57,?.?.-57,??.?.-57,??.?.-58,??.?.-58,?.?.-58,??.?.-58,??.?.-59,??.?.-59,?.?.-59,??.?.-59,??.?.-60,??.?.-60,?.?.-60,??.?.-60,??.?.-61,??.?.-61,?.?.-61,??.?.-61
11:00,582646.3852,603570.2881,546286.1713,333920.4708,555436.5859,442151.246,606428.8851,481361.4923,178274.73,472837.52,574978.16,490112.59,316248.25,365145.67,337212.89,391410.59,258044.88,261217.34,292529.94,337792.8
11:15,440778.4111,376066.8553,525248.8552,364151.3514,402931.5504,394885.1271,616388.3362,450308.9613,196824.04,507029.76,587940.9,447360.49,305929.35,354372.56,321909.66,428626.94,285237.39,244307.37,323745.25,222417.94
11:30,367470.7688,452416.3608,671900.5856,369540.2874,423094.9463,483403.5412,656985.5739,545780.622,203245.33,498795.59,562438.69,507567.79,289665.29,444449.43,339856.87,342162.14,284229.7,249216.06,373256.89,250141.52
11:45,530927.865,346912.8367,583374.4072,453309.1087,514362.2114,571489.1979,637256.2678,686878.0145,214818.72,615464.88,415214.38,615696.12,329945.86,330641.85,384932.64,356033.89,295435.58,234238.45,346552.49,299119.23
12:00,737004.3274,392287.7566,587632.2851,394157.3589,722915.3188,456870.8375,548269.972,485581.48,235702.86,627318.38,327525.14,606186.1,421247.21,334275.14,364977.65,402850.82,326309.22,237045.32,360273.34,429742.7
12:15,527118.7848,436298.6166,581941.7285,417337.6236,540822.1594,437873.9153,535670.9377,451575.5772,209911.12,595583.43,329827.24,642971.97,452151.92,329388.68,399426.13,318137.77,290751.93,257017.04,355863.62,528658.8
12:30,472509.2377,386536.8095,586976.7715,434481.6246,468794.2958,535436.2568,528548.9939,471705.4663,218258.22,610765.77,334312.69,501444.97,398611.67,342554.85,411359.63,307623.25,288154.57,227619.23,304010.04,521585.45
12:45,434578.4626,377289.3687,593618.8877,446518.196,448589.8509,461285.0711,692107.0843,421567.7087,241550.54,666737.62,354858.19,432669.81,402192.88,332427.95,385695.24,370931.34,327709.47,240310.86,296298.21,497237.69
13:00,532763.9105,373153.4782,515867.6676,502634.2999,514697.2347,503611.8,696041.6286,442475.854,257633.38,654584.97,337134.94,444751.78,420452.7,335396.38,392553.4,334341.9,339582.1,226553.29,294178.18,542835.8
13:15,459119.968,430217.3585,473479.3862,509279.1872,504253.3367,481415.0889,579897.7897,430217.0783,261197.83,484934.92,445936.61,444011.92,371515.45,313612.62,372726.51,326319.49,351098.7,231679.51,304444.74,607329.05
13:30,576922.6469,469534.8459,572669.2786,596460.1774,511257.4542,487188.5883,518658.121,476490.5852,236115.69,490181.8,473893.5,388890.74,352505.72,685071.55,435930.46,330094.06,323600.12,259321.1,290059.58,593680
13:45,579869.7275,566794.882,542808.5597,817805.2109,556904.6276,423601.1946,505684.0288,520804.487,219472.7,442557.52,395449.84,375576.7,381318.02,409381.04,519084.65,341123.32,313434.74,260438.7,407640.53,545455.78
14:00,510751.2433,541132.6542,577087.1736,550465.622,515491.6987,465223.0084,622592.4578,659990.65,214830.23,487885.96,386009.79,375687.94,364495.73,353596.05,455128.55,324089.61,311346.92,275603.41,437733.19,545813.58
14:15,430752.846,552989.0886,537488.1682,558169.3699,437377.374,495917.71,438872.2126,685547.2712,202426.12,528612.9,371722.65,381453.67,330674.67,349736.88,493964.38,321237.83,294100.18,299043.1,416609.32,550756.44
14:30,421073.9101,482446.3008,695547.7445,545399.4037,429819.5951,484486.6815,473896.0141,567927.144,206154.55,508622.63,341904.11,359570.82,364794.84,343345.74,450006.13,340193.84,287300.21,271769.66,323413.12,558907.7
14:45,455895.256,576866.1996,867474.4494,571040.29,500448.1254,466645.0853,478871.856,512640.6358,215118.87,542071.98,330889.31,401657.17,311263.9,347252.03,490028.08,373349.19,289265.28,267660.82,307133.86,577142.94
15:00,516153.4241,725688.0383,708124.3867,599005.2587,505002.3855,509193.3538,513217.8069,543667.2097,301112.43,506308.68,238658.86,438043.98,330268.53,316297.92,417414.1,358571.95,261336.5,279307.63,281222.57,586757.1
15:15,407096.9598,602019.8767,778871.8579,566936.1885,397908.9909,470748.5971,513662.9883,469363.6771,216164.47,490750.97,251230.48,400177.92,504332.96,315368.38,398436.23,310292.02,271398.95,292140.42,292153.86,583773.92
